Target column is 'Gas(mcf_well)' and there are 1053 samples.
This table summarizes some relationships between the features and the target.
Feature Name,Pearson R Score,Pearson R Rank,Spearman R Score,Spearman R Rank,Kendall Tau Score,Kendall Tau Rank,Distance Correlation Score,Distance Correlation Rank,Average Absolute Score,Average Rank Value,Average Strict Rank,,Random Forest Mean Decrease Impurity (Gini) Score,Random Forest Mean Decrease Impurity (Gini) Rank,,Stability Selection (Randomized Lasso) Score,Stability Selection (Randomized Lasso) Rank,,RFE Rank (Random Forest),RFE Rank (Extremely Randomized Trees),RFE Rank (Adaboost),RFE Rank (LGBM),RFECV Rank (Random Forest),RFECV Rank (Extremely Randomized Trees),RFECV Rank (Adaboost),RFECV Rank (LGBM)
HorizontalLength(ft),0.29225175433560624,7,0.21956851337699665,8,0.14935344655138652,8,0.2324279277143072,8,0.17872032839565932,6.2,8,,0.18539725840660065,2,,1.0,6,,3,3,2,5,1,1,1,1
StageSpacing(ft),-0.40000169690673765,4,-0.43913627218923246,5,-0.28637405892455875,5,0.44959611035882086,5,0.31502162767586994,3.8,5,,0.3343521417268245,1,,1.0,2,,1,1,1,2,1,1,1,1
ProppantIntensity(llb_ft),0.5147327508517404,1,0.5519766191875339,1,0.38501619490212646,1,0.5348995575087945,1,0.39732502449003904,0.8,1,,0.058246939691076194,6,,1.0,3,,7,5,5,3,1,1,1,1
ProppantConcentration(llb_gal),-0.1506950887277302,9,-0.19463487506647367,9,-0.13118412357956083,9,0.21829627257583506,9,0.13896207198991997,7.2,9,,0.046471408500524385,8,,1.0,4,,8,9,4,8,1,1,1,1
Bg,-0.45930687473170817,2,-0.5516603940935955,2,-0.37704851525994176,2,0.5292009754862457,2,0.38344335191429824,1.6,2,,0.07204866251995054,5,,1.0,8,,6,2,9,10,1,1,1,1
iso,0.4558253279701384,3,0.5246036395922447,3,0.35835773208622596,3,0.5128205710096801,3,0.37032145413165785,2.4,3,,0.07609748053668279,4,,0.92,10,,4,4,8,1,1,1,1,1
Sw,-0.1817087336564131,8,-0.29056629039760357,7,-0.19618080636089585,6,0.2905550786578069,7,0.1918021818145439,5.6,7,,0.03727385722101887,9,,1.0,1,,9,8,7,6,1,1,1,1
Phi,0.006397173410844877,11,0.03167332002959202,10,0.02338940387823124,10,0.1786146778388309,10,0.04801491503149981,8.2,10,,0.0363146482411018,10,,0.48,11,,10,10,6,9,1,1,1,1
Depth-TrueVertical(ft),0.38349328812844036,5,0.4734108434740554,4,0.324136042581482,4,0.47412767626343955,4,0.3310335700894835,3.4,4,,0.09158728826449983,3,,1.0,7,,2,6,3,4,1,1,1,1
Pressure,-0.30284065530385523,6,-0.2914320788750148,6,-0.1940298832704931,7,0.3148877371012776,6,0.22063807091012816,5.0,6,,0.056750350033980816,7,,1.0,5,,5,7,10,7,1,1,1,1
FluidType_LABELS,0.07019633521300614,10,0.02048123591163705,11,0.017939363584661937,11,0.13274609329129525,11,0.048272605600120075,8.6,11,,0.0054599648577393755,11,,0.955,9,,11,11,11,11,1,2,2,2
