,Time_s,Speaker,Probability,Country,Gender
1,55,Odeya Rush,0.05482124,USA,f
2,55,Nelly,0.042020667,USA,m
0,56,Romeo Miller,0.118361965,USA,m
1,56,Wendy Williams,0.074503094,USA,f
2,56,Jenifer Lewis,0.040807452,USA,f
0,57,Jordin Sparks,0.0654104,USA,f
1,57,Mark Hamill,0.06538632,USA,m
2,57,Don Rickles,0.063527785,USA,m
0,58,Stephen Colbert,0.30855587,USA,m
1,58,Rainn Wilson,0.18928729,USA,m
2,58,Denis Leary,0.05377793,USA,m
0,59,Rainn Wilson,0.3341421,USA,m
1,59,Stephen Colbert,0.31686696,USA,m
2,59,John Oliver,0.033595297,UK,m
0,60,Stephen Colbert,0.34965762,USA,m
1,60,Rainn Wilson,0.16431221,USA,m
2,60,Cliff Curtis,0.12578152,New Zealand,m
0,61,Patrick Duffy,0.45768005,USA,m
1,61,Rainn Wilson,0.10945317,USA,m
2,61,Jim Jefferies,0.08464998,USA,m
0,62,Jim Jefferies,0.28586787,USA,m
1,62,Steve Carell,0.19266008,USA,m
2,62,Rainn Wilson,0.081650496,USA,m
0,63,Rainn Wilson,0.54935515,USA,m
1,63,Stephen Colbert,0.08047072,USA,m
2,63,Steve Carell,0.038092602,USA,m
0,64,Rainn Wilson,0.7439814,USA,m
1,64,Anthony Anderson,0.063200645,USA,m
2,64,Ken Jeong,0.03663224,USA,m
0,65,Rainn Wilson,0.90440834,USA,m
1,65,Anthony Anderson,0.011416731,USA,m
2,65,Seann William Scott,0.009316092,USA,m
0,66,Rainn Wilson,0.27872702,USA,m
1,66,Anthony Anderson,0.14870374,USA,m
2,66,Ken Jeong,0.09799479,USA,m
0,67,Anthony Anderson,0.25854453,USA,m
1,67,Ken Jeong,0.20016618,USA,m
2,67,Joseph Gordon-Levitt,0.13902743,USA,m
0,68,Anthony Anderson,0.24213259,USA,m
1,68,Zach Braff,0.15222916,USA,m
2,68,Ken Jeong,0.08706459,USA,m
0,69,Bob Barker,0.065148085,USA,m
1,69,Jon Lovitz,0.061854057,USA,m
2,69,Seann William Scott,0.056132,USA,m
0,70,Bob Barker,0.42069674,USA,m
1,70,Jon Lovitz,0.07930602,USA,m
2,70,Mark Hamill,0.06793305,USA,m
0,71,Mark Hamill,0.19042918,USA,m
1,71,Jon Lovitz,0.18406335,USA,m
2,71,Laverne Cox,0.16214614,USA,f
0,72,Bob Barker,0.17371973,USA,m
1,72,Corbin Bleu,0.11056308,USA,m
2,72,Nathan Fillion,0.09306826,Canada,m
0,73,Gwendoline Christie,0.11506142,UK,f
1,73,Marla Gibbs,0.0884261,USA,f
2,73,Betty White,0.06488879,USA,f
0,74,James Earl Jones,0.12023968,USA,m
1,74,Alan Rickman,0.115852594,UK,m
2,74,Randolph Mantooth,0.104861215,USA,m
0,75,Alan Rickman,0.13747613,UK,m
1,75,Randolph Mantooth,0.1332303,USA,m
2,75,James Earl Jones,0.12889785,USA,m
0,76,James Earl Jones,0.15488552,USA,m
1,76,Alan Rickman,0.08765602,UK,m
2,76,Bill Nighy,0.08640645,UK,m
0,77,Gwendoline Christie,0.20807087,UK,f
1,77,John Carroll Lynch,0.11628666,USA,m
2,77,John Nettles,0.054710712,UK,m
0,78,Gwendoline Christie,0.217543,UK,f
1,78,John Carroll Lynch,0.07186369,USA,m
2,78,John Nettles,0.056653127,UK,m
0,79,Gwendoline Christie,0.17810641,UK,f
1,79,Martin Clunes,0.07479048,UK,m
2,79,John Carroll Lynch,0.06565758,USA,m
0,80,Gwendoline Christie,0.24982741,UK,f
1,80,Shirley Manson,0.08265631,UK,f
2,80,John Nettles,0.07726092,UK,m
0,81,Gwendoline Christie,0.31692466,UK,f
1,81,Martin Clunes,0.09449535,UK,m
2,81,Michael Crichton,0.058518786,USA,m
0,82,Gwendoline Christie,0.30641687,UK,f
1,82,Michael Crichton,0.06982014,USA,m
2,82,John Carroll Lynch,0.048787452,USA,m
