,Time_s,Speaker,Probability,Country,Gender
1,177,Roger Ebert,0.16827783,USA,m
2,177,Brett Davern,0.15244442,USA,m
0,178,John Lloyd Young,0.20265171,USA,m
1,178,Rob Corddry,0.16340138,USA,m
2,178,Xavier Samuel,0.08197221,Australia,m
0,179,John Lloyd Young,0.13246666,USA,m
1,179,Zach Galifianakis,0.07632026,USA,m
2,179,Callan McAuliffe,0.06439734,Australia,m
0,180,Zach Galifianakis,0.1807051,USA,m
1,180,John Lloyd Young,0.10371954,USA,m
2,180,Demian Bichir,0.102024056,Mexico,m
0,181,Richard Kind,0.1799529,USA,m
1,181,Demian Bichir,0.121606015,Mexico,m
2,181,Aaron Tveit,0.07215126,USA,m
0,182,Richard Kind,0.13310415,USA,m
1,182,Joe Flanigan,0.12924466,USA,m
2,182,Paul Wesley,0.05077591,USA,m
0,183,Roger Ebert,0.27020255,USA,m
1,183,A.R. Rahman,0.21296832,India,m
2,183,Chi McBride,0.08392017,USA,m
0,184,Roger Ebert,0.4713682,USA,m
1,184,A.R. Rahman,0.12968628,India,m
2,184,Chi McBride,0.04474241,USA,m
0,185,Roger Ebert,0.6931481,USA,m
1,185,David Cassidy,0.018452596,USA,m
2,185,A.R. Rahman,0.018122029,India,m
0,186,Roger Ebert,0.2789132,USA,m
1,186,Marla Gibbs,0.18020101,USA,f
2,186,Phyllis Diller,0.06059429,USA,f
0,187,Brett Davern,0.16112846,USA,m
1,187,Jack Coleman,0.08392359,USA,m
2,187,Marc Forster,0.0798243,Switzerland,m
0,188,Tim Minchin,0.18565325,Australia,m
1,188,Michael Muhney,0.14025456,USA,m
2,188,Jim Caviezel,0.073284924,USA,m
0,189,Michael Muhney,0.36375344,USA,m
1,189,Tim Minchin,0.08205635,Australia,m
2,189,Lou Diamond Phillips,0.06167458,USA,m
0,190,Michael Muhney,0.46706346,USA,m
1,190,Sung Kang,0.21190318,USA,m
2,190,Moran Atias,0.039971735,Israel,f
0,191,Julie Chen,0.3745639,USA,f
1,191,Sung Kang,0.13219246,USA,m
2,191,Moran Atias,0.077746786,Israel,f
0,192,Julie Chen,0.41511792,USA,f
1,192,Chris Colfer,0.07956753,USA,m
2,192,Katherine Heigl,0.072094515,USA,f
0,193,Andrew Rannells,0.20448716,USA,m
1,193,Maria Menounos,0.09282212,USA,f
2,193,Katherine Heigl,0.08253605,USA,f
0,194,Maria Menounos,0.12435159,USA,f
1,194,Sara Ramirez,0.117008336,USA,f
2,194,Corbin Bleu,0.095990516,USA,m
0,195,Katey Sagal,0.25753713,USA,f
1,195,Quentin Tarantino,0.13271415,USA,m
2,195,Julie Chen,0.05292441,USA,f
0,196,Aaron Tveit,0.5602412,USA,m
1,196,Quentin Tarantino,0.048844654,USA,m
2,196,Patton Oswalt,0.035180513,USA,m
0,197,Aaron Tveit,0.36853877,USA,m
1,197,Joseph Gordon-Levitt,0.08705328,USA,m
2,197,Kate Walsh,0.057840884,USA,f
0,198,James Woods,0.23850267,USA,m
1,198,Kate Walsh,0.15448429,USA,f
2,198,Aaron Tveit,0.114137284,USA,m
0,199,Joseph Gordon-Levitt,0.17724344,USA,m
1,199,Zach Galifianakis,0.14156613,USA,m
2,199,Andrew Rannells,0.07972703,USA,m
0,200,Zach Galifianakis,0.7569455,USA,m
1,200,Andrew Rannells,0.025546193,USA,m
2,200,Aaron Tveit,0.023908056,USA,m
0,201,Zach Galifianakis,0.86383414,USA,m
1,201,Quentin Tarantino,0.023139136,USA,m
2,201,Andrew Rannells,0.019118419,USA,m
0,202,Zach Galifianakis,0.7565427,USA,m
1,202,Quentin Tarantino,0.06544169,USA,m
2,202,Aaron Tveit,0.032656174,USA,m
0,203,Aaron Tveit,0.46228114,USA,m
1,203,Zach Galifianakis,0.14257829,USA,m
2,203,John Lloyd Young,0.100817576,USA,m
0,204,Tim Minchin,0.59188735,Australia,m
1,204,John Lloyd Young,0.15302959,USA,m
2,204,Aaron Tveit,0.04144971,USA,m
